,timestamp_start,timestamp_end,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,mag.x,mag.y,mag.z,stabilizer.pitch,stabilizer.roll,stabilizer.yaw
1958,3768852,3768854,-0.3425554037094116,-0.13472452759742737,0.993820309638977,4.851208686828613,8.994300842285156,1.5454649925231934,-0.5594720244407654,-0.8204589486122131,-0.29848507046699524,-0.1918119341135025,0.15916532278060913,1.6746718883514404
1959,3768862,3768864,-0.3303176760673523,-0.12073922902345657,0.9480424523353577,4.326824188232422,5.443912506103516,1.843713402748108,-0.5594720244407654,-0.8144592642784119,-0.2924853563308716,-0.18434329330921173,0.10470811277627945,1.6854242086410522
1960,3768872,3768874,-0.35417410731315613,-0.07388274371623993,0.9359382390975952,3.0891165733337402,2.5992720127105713,2.5522329807281494,-0.5534723401069641,-0.8084595799446106,-0.28948551416397095,-0.22006815671920776,0.11209988594055176,1.6981815099716187
1961,3768882,3768884,-0.2768426537513733,-0.04311784729361534,0.9525848627090454,1.131400465965271,4.735311031341553,0.8816701173782349,-0.554972231388092,-0.8219588994979858,-0.28798559308052063,-0.3152824938297272,0.1673770248889923,1.7191011905670166
1962,3768892,3768894,-0.1608496606349945,-0.28662189841270447,0.9339002370834351,1.3328155279159546,1.8027509450912476,0.6596947908401489,-0.5564721822738647,-0.8144592642784119,-0.2834858298301697,-0.39414191246032715,0.20217116177082062,1.7292338609695435
1963,3768902,3768904,-0.10124900937080383,-0.5134176015853882,0.8727275133132935,1.5017215013504028,-2.874784231185913,2.0593509674072266,-0.5579720735549927,-0.8249587416648865,-0.2939853072166443,-0.348163902759552,0.16431008279323578,1.732164740562439
1964,3768912,3768914,-0.3301507234573364,-0.44010454416275024,0.8406248688697815,1.1057981252670288,-1.5769752264022827,0.36937204003334045,-0.5474725961685181,-0.8144592642784119,-0.2954852283000946,-0.3425601124763489,0.19738474488258362,1.7496843338012695
1965,3768922,3768924,-0.155719593167305,-0.15704792737960815,0.8653289079666138,3.343295097351074,-3.5429441928863525,0.11955466866493225,-0.5429728627204895,-0.8159592151641846,-0.28498575091362,-0.32029956579208374,0.24543805420398712,1.7589901685714722
1966,3768932,3768934,-0.028996627777814865,-0.052474502474069595,0.944707453250885,2.585540533065796,-4.763114929199219,0.674091100692749,-0.5474725961685181,-0.8174591064453125,-0.30748462677001953,-0.27371910214424133,0.301300585269928,1.7652257680892944
1967,3768942,3768944,-0.07204528152942657,-0.2633174955844879,0.9389742016792297,2.880341053009033,-4.268919944763184,-0.8694725632667542,-0.5429728627204895,-0.8219588994979858,-0.3149842321872711,-0.35786446928977966,0.2854255437850952,1.7646112442016602
1968,3768952,3768954,-0.08775831013917923,-0.15005837380886078,0.9069749712944031,2.8483974933624268,-3.461912155151367,-0.9245551824569702,-0.5384730696678162,-0.8294585347175598,-0.3044847846031189,-0.3034731149673462,0.2739660441875458,1.7584517002105713
1969,3768962,3768964,-0.18069162964820862,-0.28786423802375793,0.9145026803016663,2.3756520748138428,-4.426827430725098,0.26270344853401184,-0.5414729118347168,-0.8414579033851624,-0.3164841830730438,-0.2551584243774414,0.32679495215415955,1.7578082084655762
