,timestamp_start,timestamp_end,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,gyro.x,gyro.y,gyro.z,acc.x,acc.y,acc.z,mag.x,mag.y,mag.z,label
96,31221,31223,-0.7616167068481445,2.972137212753296,3.154503345489502,-20.608570098876953,28.944414138793945,14.844806671142578,-0.028073914349079132,0.03756491094827652,1.0823602676391602,-0.616469144821167,-0.8204589486122131,-0.3134843111038208,1
97,31231,31233,-1.0879343748092651,2.661771774291992,3.354810953140259,-17.279539108276367,30.844200134277344,15.302962303161621,-0.0361967533826828,0.03851550817489624,1.05609130859375,-0.6149692535400391,-0.8219588994979858,-0.3149842321872711,1
98,31241,31243,-1.2138056755065918,2.350893259048462,3.482003688812256,-14.056644439697266,27.70138931274414,14.733004570007324,-0.04103146493434906,-0.01884301006793976,1.00003182888031,-0.6254687309265137,-0.8144592642784119,-0.2924853563308716,1
99,31251,31253,-1.367875576019287,2.1068553924560547,3.627601146697998,-12.806257247924805,21.435791015625,14.588936805725098,-0.00144729926250875,0.014353837817907333,1.0196940898895264,-0.6209689378738403,-0.8309584259986877,-0.3209839463233948,1
100,31261,31263,-1.430077314376831,1.8541494607925415,3.741793394088745,-11.40496826171875,12.203758239746094,13.372309684753418,-0.03673125430941582,0.020640838891267776,1.0317002534866333,-0.6254687309265137,-0.8204589486122131,-0.31048446893692017,1
101,31271,31273,-1.3955328464508057,1.8003566265106201,3.8188717365264893,-8.160734176635742,3.696115016937256,12.752219200134277,-0.01158843468874693,0.015960441902279854,1.014543056488037,-0.616469144821167,-0.8294585347175598,-0.29848507046699524,1
102,31281,31283,-1.5477584600448608,1.8621760606765747,3.9664721488952637,-0.7800943851470947,-3.6430885791778564,12.473369598388672,-0.0759623572230339,0.017810985445976257,0.986884593963623,-0.6299684643745422,-0.8309584259986877,-0.3029848337173462,1
103,31291,31293,-1.6326265335083008,1.9310755729675293,4.121026039123535,6.4653000831604,-6.265122413635254,12.82067584991455,-0.036677729338407516,0.04886236786842346,1.0299564599990845,-0.623968780040741,-0.8159592151641846,-0.3029848337173462,1
104,31301,31303,-1.5903100967407227,1.9498581886291504,4.263998985290527,13.007790565490723,-6.239197731018066,11.39462661743164,-0.047333911061286926,0.012591332197189331,0.9723900556564331,-0.6284685730934143,-0.8264586329460144,-0.31048446893692017,1
105,31311,31313,-1.4246529340744019,2.005077838897705,4.36569881439209,20.460800170898438,-1.6190871000289917,8.309714317321777,-0.16682375967502594,-0.004464005585759878,0.9904327988624573,-0.6299684643745422,-0.8099594712257385,-0.30898454785346985,1
